"BANK OF ENGLAND (PRA)",,
"This document provides a list of Authorised Firms, it does not supersede the Financial Service Register which should be referred to as the most accurate and up to date source of information.",,
,,
"This list of firms includes Legal Entity Identifier (LEI) data. For more information see the Firm Data section at https://www.bankofengland.co.uk/prudential-regulation/authorisations/which-firms-does-the-pra-regulate",,
,,
"List of PRA-regulated Banks as at  01 February 2026",,
,,
"Banks incorporated in the UK authorised to accept deposits",,
,,
"Firm Name","FRN","LEI"
"DZ Bank AG, Deutsche Zentral-Genossenschaftsbank","114029","529900HNOAA1KXQJUQ27"
"Emirates NBD Bank (P.J.S.C)","514680","54930029BCN8HF3B1286"
"Eurobank Private Bank Luxembourg S.A., London Branch","681820","529900HB1NOUF0UAGK18"
"First Abu Dhabi Bank P.J.S.C.","204680","2138002Y3WMK6RZS8H90"
"First Commercial Bank","204655","5493003NOCSC6LUWUF03"
"FirstRand Bank Limited","476154","ZAYQDKTCATIXF9OQY690"
"Goldman Sachs Bank USA","582328","KD3XUN7C6T14HNAYLU02"
"Gulf International Bank Bsc","204659","558600JW2XPMLG97TV14"
"Habib Bank AG Zurich","113991","2138004YBSJVUUIRA750"
"Hua Nan Commercial Bank, Ltd","204666","5493000IRH8ZF2IJYY72"
"Ikano Bank AB (publ)","409120","5493004D82XDFVPWQJ91"
"Industrial and Commercial Bank of China Limited","629629","5493002ERZU2K9PZDL40"
"Industrial Bank of Korea","452448","988400RBIWE3YA18PK12"
"ING Bank N.V.","124940","3TK20IVIUJ8J3ZU0QE75"
"Intesa Sanpaolo SpA","191858","2W8N8UU78PMDQKZENC08"
"J.P. Morgan SE","755066","549300ZK53CNGEEI6A29"
"JPMorgan Chase Bank, National Association","124491","7H6GLXDRUGQFU57RNE97"
"KBC Bank NV","186820","6B2PBRV1FCJDMR45RZ53"
"KEB Hana Bank","204671","6RPK2YDJN6L35AS0M510"
"Kookmin Bank Co Ltd London Branch","788023","549300XXMOJSIW8P4769"
"Landesbank Baden-Wurttemberg","204779","B81CK4ESI35472RHJ606"
"Lombard Odier (Europe) S.A.","597896","549300ZOE0EU2VKF6M35"
"Macquarie Bank Ltd","170934","4ZHCHI4KYZG2WVRT8631"
"Malayan Banking Berhad","204674","5493004OT3TOY404V310"
"Mashreqbank psc","204675","5493000SA3K24EQKA103"
"Mega International Commercial Bank Co. Ltd","458537","549300GCRU5QIM9WHM73"
"Mitsubishi UFJ Trust and Banking Corporation","124708","JBONEPAGQXF4QP29B387"
"Mizrahi Tefahot Bank Limited","139212","YZO9YEGEO4VYDZMDWF93"
"Mizuho Bank, Ltd.","139195","RB0PEZSDGCO3JS6CEU02"
"MUFG BANK, LTD","139189","C3GTMMZIHMY46P4OIX74"
"National Australia Bank Limited","141309","F8SB4JFBSYQFRQEH3Z21"
"National Bank of Canada","204681","BSGEFEIOM18Y80CKCV46"
"Natixis","206092","KX1WK48MPD4Y2NCUIZ63"
"Nedbank Limited","204684","213800ZBWY3BU3UUMA42"
"Nedbank Private Wealth Limited","313189","213800YEKLOP9E1LRX08"
"NongHyup Bank London Branch","1022413","988400GSDJCW3LKJBD20"
"Nordea Bank Abp","812850","529900ODI3047E2LIV03"
"Northern Trust Global Services SE","829966","HWIPDOTRM1EKRPKYKH81"
"Oversea-Chinese Banking Corporation Limited","204687","5493007O3QFXCPOGWK22"
"PT Bank Negara Indonesia (Persero) Tbk","204622","549300HZ8J3MLVXQ8F85"
"Qatar National Bank (Q.P.S.C.)","139256","549300FFSRVBS0SQXY75"
"RBC Investor Services Trust","435052","5493002MUOV04NSPT571"
"Riyad Bank","139220","54930037RJ782ISGGM71"
"Royal Bank of Canada","124783","ES7IP3U3RHIGC71XBU11"
"Shanghai Commercial Bank Ltd","204699","549300DLWZLXC60CXS69"
